"Season";"Home";"Away";"FT_Odds_H";"FT_Odds_D";"FT_Odds_A";"FT_Goals_H";"FT_Goals_A";"Date";"League";"XG_Home_Pre";"XG_Away_Pre";"ShotsOnTarget_H";"ShotsOnTarget_A";"ShotsOffTarget_H";"ShotsOffTarget_A";"Shots_H";"Shots_A"
"2013";"ABC";"América Mineiro";2,51;3,33;2,97;2;1;2013-09-03;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"ABC";"América RN";2,12;3,44;3,67;3;3;2013-11-02;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"ABC";"ASA";1,63;4,05;5,75;4;1;2013-11-15;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"ABC";"Atlético GO";2,66;3,31;2,8;0;1;2013-07-06;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"ABC";"Avaí";1,65;3,97;5,71;1;0;2013-11-23;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"ABC";"Boa";2,12;3,46;3,65;3;1;2013-09-28;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"ABC";"Bragantino";2,16;3,43;3,63;1;1;2013-06-04;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"ABC";"Ceará";2,54;3,37;2,89;1;1;2013-05-31;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"ABC";"Chapecoense";2,75;3,41;2,64;2;0;2013-09-21;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"ABC";"Figueirense";2,52;3,44;2,88;3;2;2013-08-17;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"ABC";"Guaratinguetá";1,67;3,83;5,74;2;4;2013-10-19;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
"2013";"ABC";"Icasa";2,01;3,48;4;1;0;2013-11-09;"Brazil Serie B";0;0;NA;NA;NA;NA;NA;NA
